OrderNum,OrderDate,OrderType,Customer ID,Product ID,Quantity
1105315,13-01-2020,Retail,2218,FT139,1
1105316,13-01-2020,Retail,2633,MW102,3
1105317,13-01-2020,Retail,1151,SP126,1
1105318,13-01-2020,Retail,1601,SP603,2
1105319,13-01-2020,Retail,3559,MW272,5
1105320,14-01-2020,Wholesale,2318,SP203,99
1105321,14-01-2020,Wholesale,2407,SP121,163
1105322,14-01-2020,Retail,2542,FT981,1
1105323,14-01-2020,Retail,3674,MW182,1
1105324,14-01-2020,Retail,2591,MW122,1
1105325,14-01-2020,Retail,1594,FT422,1
1105326,15-01-2020,Wholesale,3905,FT350,130
1105327,15-01-2020,Wholesale,1244,MW122,448
1105328,15-01-2020,Wholesale,3672,SP304,185
1105329,15-01-2020,Retail,3683,MW202,3
1105330,15-01-2020,Retail,3683,MW122,3
1105331,15-01-2020,Retail,2656,MW222,4
1105332,15-01-2020,Retail,2553,SP604,1
1105333,15-01-2020,Retail,1196,SP123,2
1105334,15-01-2020,Retail,1829,SP203,2
1105335,15-01-2020,Retail,3428,MW252,4
1105336,16-01-2020,Retail,3056,SP609,2
1105337,17-01-2020,Retail,3347,SP303,2
1105338,17-01-2020,Retail,1845,SP305,1
1105339,17-01-2020,Retail,2720,SP609,1
1105340,18-01-2020,Wholesale,2168,MW272,45
1105341,18-01-2020,Retail,1423,FT434,1
1105342,18-01-2020,Retail,3020,FT870,2
1105343,18-01-2020,Retail,3895,FT280,2
1105344,18-01-2020,Wholesale,1665,MW102,152
1105345,19-01-2020,Wholesale,3220,SP305,58
1105346,19-01-2020,Retail,1643,FT525,1
1105347,19-01-2020,Retail,1222,MW162,1
1105348,19-01-2020,Retail,3002,MW172,5
1105349,19-01-2020,Retail,3083,SP303,3
1105350,19-01-2020,Retail,4112,SP603,1
1105351,19-01-2020,Retail,1557,FT825,1
1105352,19-01-2020,Retail,1645,MW172,2
1105353,19-01-2020,Retail,3274,SP203,1
1105354,19-01-2020,Retail,2376,SP126,2
1105355,19-01-2020,Retail,1476,FT174,1
1105356,19-01-2020,Retail,2191,MW232,1
1105357,20-01-2020,Retail,4003,MW102,2
1105358,20-01-2020,Retail,2143,MW202,2
1105359,20-01-2020,Retail,3369,MW242,2
1105360,20-01-2020,Retail,1876,MW262,2
1105361,20-01-2020,Retail,2702,SP604,1
1105362,20-01-2020,Retail,4056,SP306,1
1105363,20-01-2020,Retail,3643,SP601,1
1105364,20-01-2020,Retail,1889,SP125,1
1105365,20-01-2020,Retail,2609,SP120,1
1105366,21-01-2020,Wholesale,1914,MW252,96
1105367,21-01-2020,Retail,4055,SP120,2
1105368,21-01-2020,Retail,2880,SP609,2
1105369,21-01-2020,Retail,3724,SP305,2
1105370,21-01-2020,Retail,4061,SP602,2
1105371,21-01-2020,Retail,4120,SP603,2
1105372,21-01-2020,Retail,1201,FT172,1
1105373,21-01-2020,Retail,1943,FT139,1
1105374,21-01-2020,Wholesale,2000,FT350,72
1105375,22-01-2020,Retail,1301,FT300,2
1105376,22-01-2020,Retail,2934,FT727,2
1105377,22-01-2020,Retail,1686,FT544,2
1105378,22-01-2020,Retail,1200,MW172,4
1105379,22-01-2020,Retail,3382,MW272,3
1105380,23-01-2020,Retail,2374,MW232,160
1105381,23-01-2020,Retail,2365,SP202,2
1105382,23-01-2020,Retail,3923,SP120,2
1105383,23-01-2020,Retail,2592,SP603,1
1105384,23-01-2020,Retail,3054,SP609,1
1105385,23-01-2020,Retail,3622,FT577,2
1105386,23-01-2020,Retail,4080,FT358,1
1105387,23-01-2020,Retail,1561,MW102,4
1105388,24-01-2020,Wholesale,1503,MW112,93
1105389,24-01-2020,Retail,3009,SP126,1
1105390,24-01-2020,Retail,2540,SP603,1
1105391,24-01-2020,Retail,3720,FT870,1
1105392,24-01-2020,Retail,1972,MW112,4
1105393,25-01-2020,Retail,1327,SP120,2
1105394,25-01-2020,Retail,3252,SP203,1
1105395,25-01-2020,Retail,2687,FT577,1
1105396,25-01-2020,Retail,3022,MW112,2
1105397,25-01-2020,Retail,3934,MW112,4
1105398,25-01-2020,Retail,3540,SP120,1
1105399,26-01-2020,Wholesale,2389,MW162,100
1105400,26-01-2020,Retail,2539,SP305,2
1105401,26-01-2020,Retail,1935,SP204,2
1105402,26-01-2020,Retail,1188,SP202,1
1105403,26-01-2020,Retail,1228,FT174,1
1105404,26-01-2020,Wholesale,3327,MW222,94
1105405,27-01-2020,Retail,1545,FT577,2
1105406,27-01-2020,Retail,3246,MW102,2
1105407,27-01-2020,Retail,3656,MW122,2
1105408,27-01-2020,Retail,3861,SP601,1
1105409,27-01-2020,Retail,1838,SP304,1
1105410,27-01-2020,Retail,2674,SP123,2
1105411,28-01-2020,Retail,2248,SP204,2
1105412,28-01-2020,Retail,3564,FT139,1
1105413,28-01-2020,Retail,2628,FT981,1
1105414,28-01-2020,Retail,3405,MW162,4
1105415,28-01-2020,Retail,3690,SP609,1
1105416,28-01-2020,Retail,2145,SP601,1
1105417,28-01-2020,Retail,4033,FT358,1
1105418,28-01-2020,Retail,1186,MW102,2
1105419,29-01-2020,Wholesale,1656,MW122,52
1105420,29-01-2020,Retail,1526,SP607,1
1105421,29-01-2020,Retail,4050,SP202,2
1105422,29-01-2020,Retail,1211,FT139,1
1105423,29-01-2020,Retail,3030,MW152,4
1105424,29-01-2020,Retail,3386,SP602,2
1105425,29-01-2020,Retail,2218,SP603,1
1105426,29-01-2020,Retail,2021,MW202,2
1105427,30-01-2020,Wholesale,3713,MW152,64
1105428,30-01-2020,Retail,1493,FT577,1
1105429,30-01-2020,Retail,1332,MW102,1
1105430,30-01-2020,Retail,4036,MW202,2
1105431,31-01-2020,Retail,3573,MW242,85
1105432,01-02-2020,Wholesale,1800,SP201,61
1105433,01-02-2020,Retail,1222,SP602,2
1105434,01-02-2020,Retail,1217,SP201,2
1105435,01-02-2020,Retail,3884,SP202,2
1105436,01-02-2020,Retail,2183,SP123,1
1105437,01-02-2020,Retail,2979,SP601,1
1105438,01-02-2020,Retail,1559,FT300,1
1105439,02-02-2020,Retail,1167,FT300,1
1105440,02-02-2020,Retail,2883,FT870,1
1105441,02-02-2020,Retail,1872,FT609,1
1105442,02-02-2020,Retail,2886,MW102,3
1105443,02-02-2020,Retail,1218,MW222,3
1105444,02-02-2020,Retail,4102,SP305,1
1105445,02-02-2020,Retail,2063,SP303,2
1105446,02-02-2020,Retail,3174,SP303,2
1105447,02-02-2020,Retail,1451,SP303,1
1105448,02-02-2020,Retail,2555,FT598,1
1105449,02-02-2020,Retail,1602,FT139,1
1105450,03-02-2020,Retail,3538,MW112,2
1105451,03-02-2020,Retail,2199,SP306,1
1105452,03-02-2020,Retail,4053,SP202,2
1105453,03-02-2020,Retail,1493,FT174,1
1105454,03-02-2020,Retail,3426,MW112,1
1105455,03-02-2020,Retail,2577,MW162,2
1105456,03-02-2020,Retail,3181,MW162,5
1105457,03-02-2020,Retail,1209,SP203,1
1105458,04-02-2020,Retail,3866,SP204,2
1105459,04-02-2020,Retail,2189,SP203,2
1105460,04-02-2020,Retail,3766,SP125,1
1105461,04-02-2020,Retail,1877,FT344,2
1105462,04-02-2020,Retail,3341,FT337,2
1105463,05-02-2020,Retail,3011,MW112,2
1105464,05-02-2020,Retail,3197,SP305,2
1105465,05-02-2020,Retail,3333,FT174,2
1105466,05-02-2020,Retail,3616,MW122,1
1105467,05-02-2020,Retail,3928,MW102,2
1105468,05-02-2020,Retail,1887,SP609,1
1105469,06-02-2020,Wholesale,1832,MW172,287
1105470,06-02-2020,Retail,1116,SP607,1
1105471,06-02-2020,Retail,1189,SP305,1
1105472,06-02-2020,Retail,2683,SP607,2
1105473,06-02-2020,Retail,1902,SP309,2
1105474,06-02-2020,Retail,2387,SP204,2
1105475,06-02-2020,Retail,4049,FT434,1
1105476,06-02-2020,Retail,2025,FT139,1
1105477,06-02-2020,Retail,3585,FT350,3
1105478,07-02-2020,Wholesale,2265,MW272,252
1105479,07-02-2020,Wholesale,2543,MW222,382
1105480,07-02-2020,Retail,3207,MW162,4
1105481,07-02-2020,Retail,3639,SP303,2
1105482,08-02-2020,Retail,4028,MW232,157
1105483,08-02-2020,Retail,3042,SP305,1
1105484,08-02-2020,Retail,1666,FT358,1
1105485,08-02-2020,Retail,1908,SP303,1
1105486,09-02-2020,Retail,2184,SP204,2
1105487,09-02-2020,Retail,2592,FT174,2
1105488,09-02-2020,Retail,1168,MW152,1
1105489,09-02-2020,Retail,2026,MW162,3
1105490,09-02-2020,Retail,2626,MW252,4
1105491,10-02-2020,Wholesale,2031,MW202,475
1105492,10-02-2020,Retail,2311,SP126,1
1105493,10-02-2020,Retail,2938,SP126,2
1105494,10-02-2020,Retail,4026,SP305,2
1105495,10-02-2020,Retail,3511,SP303,1
1105496,10-02-2020,Retail,3988,FT544,2
1105497,10-02-2020,Retail,1796,FT962,1
1105498,10-02-2020,Retail,3907,MW252,2
1105499,11-02-2020,Wholesale,3520,MW232,109
1105500,11-02-2020,Wholesale,1665,MW242,65
1105501,11-02-2020,Retail,3576,SP305,1
1105502,11-02-2020,Retail,2761,SP603,2
1105503,12-02-2020,Wholesale,2698,MW272,149
1105504,12-02-2020,Retail,2179,FT727,1
1105505,12-02-2020,Retail,3377,MW282,1
1105506,12-02-2020,Retail,3682,SP607,1
1105507,13-02-2020,Wholesale,2518,SP201,102
1105508,13-02-2020,Retail,3283,SP201,2
1105509,13-02-2020,Retail,1535,FT434,1
1105510,13-02-2020,Retail,1628,MW132,3
1105511,13-02-2020,Retail,3005,SP125,2
1105512,13-02-2020,Retail,2512,SP609,1
1105513,13-02-2020,Retail,1988,FT439,1
1105514,14-02-2020,Retail,2621,MW102,172
1105515,14-02-2020,Retail,1671,MW102,1
1105516,14-02-2020,Retail,2580,MW272,1
1105517,14-02-2020,Retail,1705,MW122,3
1105518,14-02-2020,Retail,1505,MW202,4
1105519,14-02-2020,Retail,1915,SP603,1
1105520,14-02-2020,Retail,1577,SP601,1
1105521,14-02-2020,Retail,1296,SP123,1
1105522,14-02-2020,Retail,2712,SP303,2
1105523,14-02-2020,Retail,2617,SP601,2
1105524,15-02-2020,Retail,2665,SP203,1
1105525,15-02-2020,Retail,3564,SP604,1
1105526,15-02-2020,Retail,1539,FT172,1
1105527,15-02-2020,Retail,2188,MW122,1
1105528,15-02-2020,Retail,3568,MW162,1
1105529,15-02-2020,Retail,1559,MW122,3
1105530,15-02-2020,Retail,2022,MW182,3
1105531,15-02-2020,Wholesale,3177,MW152,92
1105532,16-02-2020,Wholesale,3218,SP602,108
1105533,16-02-2020,Wholesale,1244,MW102,81
1105534,16-02-2020,Retail,1334,MW262,4
1105535,16-02-2020,Retail,1119,SP603,4
1105536,16-02-2020,Retail,3176,SP120,3
1105537,17-02-2020,Wholesale,3741,MW272,80
1105538,17-02-2020,Wholesale,2989,MW222,59
1105539,17-02-2020,Retail,2355,SP303,2
1105540,17-02-2020,Retail,2660,SP202,1
1105541,18-02-2020,Retail,1456,SP202,1
1105542,18-02-2020,Retail,1522,SP604,1
1105543,19-02-2020,Wholesale,4083,MW272,169
1105544,19-02-2020,Wholesale,3986,FT589,93
1105545,19-02-2020,Wholesale,1501,FT344,130
1105546,19-02-2020,Retail,2391,FT530,1
1105547,19-02-2020,Retail,2208,FT825,1
1105548,19-02-2020,Retail,1718,FT962,1
1105549,20-02-2020,Retail,1462,SP303,348
1105550,20-02-2020,Retail,1638,MW182,2
1105551,20-02-2020,Retail,1331,MW272,2
1105552,21-02-2020,Retail,3951,MW262,3
1105553,22-02-2020,Wholesale,2651,SP203,76
1105554,22-02-2020,Wholesale,1137,FT344,78
1105555,22-02-2020,Wholesale,3332,MW242,58
1105556,22-02-2020,Retail,3546,SP120,1
1105557,22-02-2020,Retail,1465,SP304,2
1105558,22-02-2020,Retail,3352,SP303,2
1105559,22-02-2020,Retail,3760,SP123,2
1105560,22-02-2020,Retail,1540,FT895,1
1105561,22-02-2020,Retail,3240,FT357,1
1105562,23-02-2020,Retail,2941,MW122,153
1105563,23-02-2020,Wholesale,2265,SP204,273
1105564,23-02-2020,Retail,2618,FT609,1
1105565,23-02-2020,Retail,3979,MW202,1
1105566,23-02-2020,Retail,3316,MW272,1
1105567,23-02-2020,Retail,2362,MW122,5
1105568,24-02-2020,Wholesale,2948,MW172,73
1105569,24-02-2020,Retail,1717,SP306,3
1105570,24-02-2020,Retail,1195,SP607,2
1105571,24-02-2020,Retail,3247,FT422,1
1105572,24-02-2020,Retail,3306,FT853,1
1105573,24-02-2020,Retail,2508,MW222,1
1105574,24-02-2020,Retail,1600,MW112,4
1105575,24-02-2020,Retail,1679,MW152,4
1105576,25-02-2020,Wholesale,1650,FT530,62
1105577,25-02-2020,Retail,1538,SP125,1
1105578,25-02-2020,Retail,3608,SP204,2
1105579,25-02-2020,Retail,1207,SP601,2
1105580,25-02-2020,Retail,1697,SP602,1
1105581,25-02-2020,Retail,1827,SP204,1
1105582,26-02-2020,Retail,1515,MW232,246
1105583,26-02-2020,Retail,2639,FT434,2
1105584,26-02-2020,Retail,1160,FT577,1
1105585,26-02-2020,Retail,1986,FT589,1
1105586,26-02-2020,Retail,2663,MW122,1
1105587,26-02-2020,Retail,3070,MW132,2
1105588,26-02-2020,Retail,2727,SP126,1
1105589,27-02-2020,Wholesale,2146,MW102,72
1105590,27-02-2020,Retail,3376,SP306,1
1105591,27-02-2020,Retail,3690,SP304,2
1105592,27-02-2020,Retail,4046,SP202,2
1105593,27-02-2020,Retail,1587,FT976,1
1105594,28-02-2020,Wholesale,3373,MW132,76
1105595,28-02-2020,Wholesale,2965,SP121,58
1105596,28-02-2020,Wholesale,3183,MW222,198
1105597,28-02-2020,Retail,3935,FT895,1
1105598,28-02-2020,Retail,3937,MW122,2
1105599,28-02-2020,Retail,1187,MW252,4
1105600,28-02-2020,Retail,2197,SP120,1
1105601,29-02-2020,Retail,3050,SP602,3
1105602,29-02-2020,Retail,3751,SP204,2
1105603,29-02-2020,Retail,4086,SP120,1
1105604,29-02-2020,Retail,4046,FT981,1
1105605,29-02-2020,Retail,2276,FT962,1
1105606,29-02-2020,Retail,2537,MW102,1
1105607,29-02-2020,Retail,1857,MW102,5
1105608,29-02-2020,Retail,2846,SP202,2
1105609,01-03-2020,Retail,3561,SP201,1
1105610,01-03-2020,Retail,1713,SP305,2
1105611,02-03-2020,Wholesale,2200,MW232,152
1105612,03-03-2020,Wholesale,3036,MW132,182
1105613,03-03-2020,Wholesale,3235,SP306,263
1105614,03-03-2020,Wholesale,2232,FT530,69
1105615,03-03-2020,Retail,2999,MW132,1
1105616,04-03-2020,Wholesale,3227,FT434,144
1105617,04-03-2020,Retail,3638,SP120,2
1105618,05-03-2020,Retail,1238,MW122,93
1105619,05-03-2020,Retail,3375,FT280,2
1105620,05-03-2020,Retail,2631,MW282,2
1105621,06-03-2020,Retail,1264,SP204,1
1105622,06-03-2020,Retail,2865,SP123,1
1105623,06-03-2020,Retail,2135,SP303,2
1105624,07-03-2020,Retail,1591,FT357,2
1105625,08-03-2020,Retail,2377,MW132,1
1105626,08-03-2020,Retail,3009,MW122,1
1105627,08-03-2020,Retail,2752,MW102,6
1105628,08-03-2020,Retail,3263,SP607,2
1105629,08-03-2020,Retail,2564,SP305,2
1105630,09-03-2020,Retail,3178,FT577,97
1105631,09-03-2020,Wholesale,1440,SP120,261
1105632,09-03-2020,Retail,1984,SP303,1
1105633,09-03-2020,Retail,2386,SP303,1
1105634,09-03-2020,Retail,2156,FT337,1
1105635,09-03-2020,Retail,2931,FT525,1
1105636,09-03-2020,Retail,2602,MW112,4
1105637,09-03-2020,Retail,1229,SP202,2
1105638,09-03-2020,Retail,4039,MW132,2
1105639,09-03-2020,Retail,2182,SP204,1
1105640,09-03-2020,Retail,1502,SP306,1
1105641,10-03-2020,Retail,3237,SP202,2
1105642,10-03-2020,Retail,4004,SP607,2
1105643,11-03-2020,Wholesale,2963,FT870,82
1105644,11-03-2020,Retail,2528,FT344,1
1105645,11-03-2020,Retail,2901,MW202,3
1105646,11-03-2020,Retail,2697,SP201,1
1105647,11-03-2020,Retail,3861,FT870,1
1105648,11-03-2020,Retail,2220,MW122,1
1105649,11-03-2020,Retail,2983,MW162,3
1105650,12-03-2020,Wholesale,2662,MW172,194
1105651,12-03-2020,Retail,4029,SP609,2
1105652,12-03-2020,Retail,1516,SP203,2
1105653,13-03-2020,Retail,3641,MW162,193
1105654,13-03-2020,Retail,3896,SP609,1
1105655,13-03-2020,Retail,3342,FT598,1
1105656,13-03-2020,Retail,1877,MW202,1
1105657,13-03-2020,Retail,2397,SP304,3
1105658,14-03-2020,Wholesale,1435,MW152,110
1105659,14-03-2020,Retail,3967,FT853,1
1105660,14-03-2020,Retail,1822,MW122,3
1105661,14-03-2020,Retail,3070,MW102,5
1105662,14-03-2020,Retail,3280,SP204,1
1105663,15-03-2020,Retail,2833,MW282,76
1105664,15-03-2020,Retail,3920,SP123,1
1105665,15-03-2020,Retail,3870,FT609,1
1105666,15-03-2020,Retail,3270,SP603,1
1105667,16-03-2020,Wholesale,2608,SP601,77
1105668,16-03-2020,Wholesale,3389,FT337,52
1105669,17-03-2020,Wholesale,3276,MW122,100
1105670,17-03-2020,Retail,1495,FT962,1
1105671,17-03-2020,Retail,3082,MW142,2
1105672,17-03-2020,Retail,3025,MW162,2
1105673,17-03-2020,Retail,2558,SP609,1
1105674,17-03-2020,Retail,2674,SP203,1
1105675,18-03-2020,Retail,3265,FT644,1
1105676,18-03-2020,Retail,4103,FT344,1
1105677,19-03-2020,Wholesale,2240,SP120,197
1105678,19-03-2020,Wholesale,1163,MW112,87
1105679,19-03-2020,Retail,1717,MW112,1
1105680,19-03-2020,Retail,1483,MW162,5
1105681,19-03-2020,Retail,2314,SP125,1
1105682,19-03-2020,Retail,1560,SP303,2
1105683,20-03-2020,Wholesale,1886,MW142,111
1105684,20-03-2020,Retail,2034,SP602,1
1105685,20-03-2020,Retail,2301,FT358,1
1105686,20-03-2020,Retail,3900,MW132,3
1105687,20-03-2020,Retail,1314,MW242,4
1105688,21-03-2020,Retail,1333,SP602,4
1105689,21-03-2020,Retail,3855,SP602,130
1105690,21-03-2020,Retail,3516,SP120,1
1105691,21-03-2020,Retail,2005,SP203,1
1105692,21-03-2020,Retail,1328,FT962,2
1105693,21-03-2020,Retail,3744,MW122,4
1105694,21-03-2020,Retail,1551,SP126,1
1105695,21-03-2020,Retail,3307,SP303,1
1105696,21-03-2020,Retail,3632,FT589,3
1105697,21-03-2020,Retail,2535,MW102,2
1105698,21-03-2020,Retail,2211,SP603,2
1105699,21-03-2020,Retail,1125,FT139,1
1105700,22-03-2020,Retail,1489,MW222,3
1105701,22-03-2020,Retail,2645,SP126,2
1105702,22-03-2020,Retail,2149,SP121,1
1105703,22-03-2020,Retail,2201,FT358,1
1105704,22-03-2020,Retail,1691,MW142,2
1105705,22-03-2020,Retail,2928,SP125,1
1105706,23-03-2020,Retail,2227,MW202,1
1105707,23-03-2020,Retail,3358,MW112,7
1105708,23-03-2020,Retail,1516,SP120,3
1105709,24-03-2020,Retail,3390,FT422,1
1105710,24-03-2020,Retail,3329,MW272,1
1105711,24-03-2020,Retail,1639,MW202,3
1105712,24-03-2020,Retail,1841,MW232,3
1105713,24-03-2020,Retail,1651,SP305,1
1105714,24-03-2020,Retail,1552,SP609,1
1105715,24-03-2020,Retail,3068,SP303,2
1105716,25-03-2020,Wholesale,4083,SP203,158
1105717,25-03-2020,Wholesale,3177,MW232,97
1105718,25-03-2020,Retail,1872,SP204,1
1105719,25-03-2020,Retail,2288,SP309,1
1105720,25-03-2020,Retail,1532,SP126,2
1105721,25-03-2020,Retail,3712,SP204,1
1105722,25-03-2020,Retail,2623,SP601,1
1105723,25-03-2020,Retail,1816,SP204,1
1105724,25-03-2020,Retail,3695,FT434,2
1105725,26-03-2020,Wholesale,3177,SP120,199
1105726,26-03-2020,Retail,1970,FT682,2
1105727,26-03-2020,Retail,1258,FT258,1
1105728,26-03-2020,Retail,2507,FT485,1
1105729,26-03-2020,Retail,2414,MW162,4
1105730,27-03-2020,Wholesale,1514,MW242,126
1105731,27-03-2020,Retail,1803,SP125,2
1105732,27-03-2020,Retail,1322,MW202,1
1105733,27-03-2020,Retail,2907,MW142,2
1105734,27-03-2020,Retail,3032,MW272,5
1105735,28-03-2020,Retail,2941,SP123,247
1105736,28-03-2020,Retail,3665,SP120,1
1105737,28-03-2020,Retail,2565,SP126,2
1105738,28-03-2020,Retail,1614,SP306,2
1105739,28-03-2020,Retail,2281,FT422,1
1105740,29-03-2020,Retail,2369,FT853,1
1105741,29-03-2020,Retail,3943,MW112,1
1105742,29-03-2020,Retail,2185,MW182,3
1105743,29-03-2020,Retail,1837,MW152,5
1105744,29-03-2020,Retail,2614,SP607,1
1105745,30-03-2020,Wholesale,2251,SP609,172
1105746,30-03-2020,Wholesale,2971,FT350,42
1105747,30-03-2020,Retail,1539,SP304,1
1105748,30-03-2020,Retail,2322,SP601,2
1105749,30-03-2020,Retail,2192,SP303,2
1105750,30-03-2020,Retail,2983,SP607,1
1105751,30-03-2020,Retail,2749,SP303,1
1105752,31-03-2020,Wholesale,1491,SP303,88
1105753,31-03-2020,Wholesale,3863,MW152,385
1105754,31-03-2020,Retail,1610,FT344,3
1105755,31-03-2020,Retail,1291,FT530,1
1105756,31-03-2020,Retail,2202,FT825,2
1105757,01-04-2020,Retail,2833,FT337,27
1105758,01-04-2020,Wholesale,1482,SP303,292
1105759,01-04-2020,Retail,2177,MW182,1
1105760,01-04-2020,Retail,1631,MW222,4
1105761,01-04-2020,Retail,2368,SP304,2
1105762,01-04-2020,Retail,3041,SP609,1
1105763,02-04-2020,Wholesale,1446,FT598,72
1105764,02-04-2020,Retail,2020,FT525,1
1105765,02-04-2020,Retail,2294,MW132,3
1105766,02-04-2020,Retail,3691,MW202,3
1105767,02-04-2020,Retail,2743,SP304,2
1105768,02-04-2020,Retail,4054,SP125,5
